market_name,token_id,date_time,market_slug
"Bitcoin Up or Down - July 19, 12PM ET",2129609839588689798621348599059869795999443284756639349821397361838885362131,2025-07-19 12:00 EDT,bitcoin-up-or-down-july-19-12pm-et
"Bitcoin Up or Down - July 19, 1PM ET",110323095354773367382686572044467385996411347790834437893481150320499595067506,2025-07-19 13:00 EDT,bitcoin-up-or-down-july-19-1pm-et
"Bitcoin Up or Down - July 19, 2PM ET",80737063716913233491714298632982784902842755816967672972421964615834495845533,2025-07-19 14:00 EDT,bitcoin-up-or-down-july-19-2pm-et
"Bitcoin Up or Down - July 19, 3PM ET",37280938339315103783699867783047349685132120526119277176078975590143566081718,2025-07-19 15:00 EDT,bitcoin-up-or-down-july-19-3pm-et
"Bitcoin Up or Down - July 19, 4PM ET",73380185901193023378353358604961776044915448236893134510908066308121608466974,2025-07-19 16:00 EDT,bitcoin-up-or-down-july-19-4pm-et
"Bitcoin Up or Down - July 19, 5PM ET",110215249904180138552038203227030735240029184807600690579316258580195011918793,2025-07-19 17:00 EDT,bitcoin-up-or-down-july-19-5pm-et
"Bitcoin Up or Down - July 19, 6PM ET",14728733677673588289118732532038234117910388257935731182350812254967400146922,2025-07-19 18:00 EDT,bitcoin-up-or-down-july-19-6pm-et
"Bitcoin Up or Down - July 19, 7PM ET",51905949288927708675873695758117495926551518056660179610911045493703805126139,2025-07-19 19:00 EDT,bitcoin-up-or-down-july-19-7pm-et
"Bitcoin Up or Down - July 19, 8PM ET",43231918172637719980995839511145841016662950953429151608640208936885365999553,2025-07-19 20:00 EDT,bitcoin-up-or-down-july-19-8pm-et
"Bitcoin Up or Down - July 19, 9PM ET",75859091657008052042475317485616839731652191600496221038079345160182987681086,2025-07-19 21:00 EDT,bitcoin-up-or-down-july-19-9pm-et
"Bitcoin Up or Down - July 19, 10PM ET",42186675387633636347970087771405075934044252418155471989947817151365739786781,2025-07-19 22:00 EDT,bitcoin-up-or-down-july-19-10pm-et
"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,2025-07-19 23:00 EDT,bitcoin-up-or-down-july-19-11pm-et
"Bitcoin Up or Down - July 20, 12AM ET",1277891009584150743939268276459488585979568467271949572320428573079032025536,2025-07-20 00:00 EDT,bitcoin-up-or-down-july-20-12am-et
"Bitcoin Up or Down - July 20, 1AM ET",70150525204504288656447237321741684217357045674060862323556826240548249474781,2025-07-20 01:00 EDT,bitcoin-up-or-down-july-20-1am-et
"Bitcoin Up or Down - July 20, 2AM ET",107330480995951174466146057203679586211297091160054651502173226320167894128408,2025-07-20 02:00 EDT,bitcoin-up-or-down-july-20-2am-et
"Bitcoin Up or Down - July 20, 3AM ET",30041979337482365507932792092746814553742600910102695812803933272649103599185,2025-07-20 03:00 EDT,bitcoin-up-or-down-july-20-3am-et
"Bitcoin Up or Down - July 20, 4AM ET",84852264767812751974909599099531184620524359774789272383441349751401074714025,2025-07-20 04:00 EDT,bitcoin-up-or-down-july-20-4am-et
"Bitcoin Up or Down - July 20, 5AM ET",7702049095723196646658612069956951748212186635387559654370570949972434038655,2025-07-20 05:00 EDT,bitcoin-up-or-down-july-20-5am-et
"Bitcoin Up or Down - July 20, 6AM ET",17838910758242925887913175792817632339567690237923064715818693554135223825881,2025-07-20 06:00 EDT,bitcoin-up-or-down-july-20-6am-et
"Bitcoin Up or Down - July 20, 7AM ET",71031940354990277587463437377625176901500526876081332426917401963501209282461,2025-07-20 07:00 EDT,bitcoin-up-or-down-july-20-7am-et
"Bitcoin Up or Down - July 20, 8AM ET",25924955404692751216920499489026486195439275006634544410772394514007893562238,2025-07-20 08:00 EDT,bitcoin-up-or-down-july-20-8am-et
"Bitcoin Up or Down - July 20, 9AM ET",1441900480148062824867002827688882258650877334833798110618681145386485120219,2025-07-20 09:00 EDT,bitcoin-up-or-down-july-20-9am-et
"Bitcoin Up or Down - July 20, 10AM ET",110726843709260185914543367624519041824337264283649685505694519538928699869314,2025-07-20 10:00 EDT,bitcoin-up-or-down-july-20-10am-et
"Bitcoin Up or Down - July 20, 11AM ET",10588569752245403159542802614597641277982467308507138126865692553569375276626,2025-07-20 11:00 EDT,bitcoin-up-or-down-july-20-11am-et
"Bitcoin Up or Down - July 20, 12PM ET",34269097692455109120044669245331254485453615704165497441927067700942384888546,2025-07-20 12:00 EDT,bitcoin-up-or-down-july-20-12pm-et
"Bitcoin Up or Down - July 20, 1PM ET",18947711892299969498199837100098261215117068746988647409339803282331755893475,2025-07-20 13:00 EDT,bitcoin-up-or-down-july-20-1pm-et
"Bitcoin Up or Down - July 20, 2PM ET",21815797706617373370934301752052387750461111657866296134070281504248764256243,2025-07-20 14:00 EDT,bitcoin-up-or-down-july-20-2pm-et
"Bitcoin Up or Down - July 20, 3PM ET",84304017176721187153035218062400430462284840890253444311538335697845156383142,2025-07-20 15:00 EDT,bitcoin-up-or-down-july-20-3pm-et
"Bitcoin Up or Down - July 20, 4PM ET",31945404852246273082535796739210372772169919328977351072324385772515630475177,2025-07-20 16:00 EDT,bitcoin-up-or-down-july-20-4pm-et
"Bitcoin Up or Down - July 20, 5PM ET",24047729263902313760887986991259230133919437623345441727408263603206691199519,2025-07-20 17:00 EDT,bitcoin-up-or-down-july-20-5pm-et
"Bitcoin Up or Down - July 20, 6PM ET",90916959465811214499043035582786104275197705831632248402444987548174820329743,2025-07-20 18:00 EDT,bitcoin-up-or-down-july-20-6pm-et
"Bitcoin Up or Down - July 20, 7PM ET",99055751803233016531509984655049245712051066389708379277956904088889796145042,2025-07-20 19:00 EDT,bitcoin-up-or-down-july-20-7pm-et
"Bitcoin Up or Down - July 20, 8PM ET",85558658693040995492570083913883104608981377991927153724480744810490550828932,2025-07-20 20:00 EDT,bitcoin-up-or-down-july-20-8pm-et
"Bitcoin Up or Down - July 20, 9PM ET",114733539197619717235047758795899680658628796601224791176130315145544540875397,2025-07-20 21:00 EDT,bitcoin-up-or-down-july-20-9pm-et
"Bitcoin Up or Down - July 20, 10PM ET",88571012702005775041090199068211589399566008601492701933058453362645880747153,2025-07-20 22:00 EDT,bitcoin-up-or-down-july-20-10pm-et
"Bitcoin Up or Down - July 20, 11PM ET",83818656905676784368576405869973418850055718490098758057802631204581572466828,2025-07-20 23:00 EDT,bitcoin-up-or-down-july-20-11pm-et
"Bitcoin Up or Down - July 21, 12AM ET",4014123232134206394371799541999521523367797021924723952905203015344644802844,2025-07-21 00:00 EDT,bitcoin-up-or-down-july-21-12am-et
"Bitcoin Up or Down - July 21, 1AM ET",101411672804173846164994331790705021605392870950696091687769461228198690412709,2025-07-21 01:00 EDT,bitcoin-up-or-down-july-21-1am-et
"Bitcoin Up or Down - July 21, 2AM ET",24291146166093758183362618004418811799154422487471575546030064814741013260776,2025-07-21 02:00 EDT,bitcoin-up-or-down-july-21-2am-et
"Bitcoin Up or Down - July 21, 3AM ET",43251488374068799658988248572695381817300327548491885246417160200371404894722,2025-07-21 03:00 EDT,bitcoin-up-or-down-july-21-3am-et
"Bitcoin Up or Down - July 21, 4AM ET",19740113071006801854835770356439568501520737521066882208353434224516885149573,2025-07-21 04:00 EDT,bitcoin-up-or-down-july-21-4am-et
"Bitcoin Up or Down - July 21, 5AM ET",24068835530162055079340370666761586710871313588680403292880639134849321969387,2025-07-21 05:00 EDT,bitcoin-up-or-down-july-21-5am-et
"Bitcoin Up or Down - July 21, 6AM ET",12114732614145715539587161954118965537058115301214085882199386807238481589981,2025-07-21 06:00 EDT,bitcoin-up-or-down-july-21-6am-et
"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,2025-07-21 07:00 EDT,bitcoin-up-or-down-july-21-7am-et
"Bitcoin Up or Down - July 21, 8AM ET",98317875849422766265711621654380022446835645553189092884561098144125594839375,2025-07-21 08:00 EDT,bitcoin-up-or-down-july-21-8am-et
"Bitcoin Up or Down - July 21, 9AM ET",8005995942187115282635673325329642330671915124509312704337184296612752707538,2025-07-21 09:00 EDT,bitcoin-up-or-down-july-21-9am-et
"Bitcoin Up or Down - July 21, 10AM ET",48358961982864454955157132542497426470981054308968932767739819492549867422793,2025-07-21 10:00 EDT,bitcoin-up-or-down-july-21-10am-et
"Bitcoin Up or Down - July 21, 11AM ET",69459341017671255564627861420811513350933824894347827737908303395861439711538,2025-07-21 11:00 EDT,bitcoin-up-or-down-july-21-11am-et
"Bitcoin Up or Down - July 21, 12PM ET",13046239552786031178737409279832172222791351156261667175759325907652630423110,2025-07-21 12:00 EDT,bitcoin-up-or-down-july-21-12pm-et
"Bitcoin Up or Down - July 21, 1PM ET",101640496033401544741415410622277706336882746574913645478171902381422091618558,2025-07-21 13:00 EDT,bitcoin-up-or-down-july-21-1pm-et
"Bitcoin Up or Down - July 21, 2PM ET",49554918524508686683955648781887723833056808921497580977515954711670797664792,2025-07-21 14:00 EDT,bitcoin-up-or-down-july-21-2pm-et
"Bitcoin Up or Down - July 21, 3PM ET",110124733637497161266881146123603500460143527599434642565081165470464296859631,2025-07-21 15:00 EDT,bitcoin-up-or-down-july-21-3pm-et
"Bitcoin Up or Down - July 21, 4PM ET",67568229858800119361563792840670200370621617711883783231398903547105160028287,2025-07-21 16:00 EDT,bitcoin-up-or-down-july-21-4pm-et
"Bitcoin Up or Down - July 21, 5PM ET",31054964129761080387645639698874206031482299516157270712433165984859424598348,2025-07-21 17:00 EDT,bitcoin-up-or-down-july-21-5pm-et
"Bitcoin Up or Down - July 21, 6PM ET",99491541445296547674294039141116594246096155983232160956564503664814600396105,2025-07-21 18:00 EDT,bitcoin-up-or-down-july-21-6pm-et
"Bitcoin Up or Down - July 21, 7PM ET",98274145314568446814161510176686423212016820629553950376984272173613448691287,2025-07-21 19:00 EDT,bitcoin-up-or-down-july-21-7pm-et
"Bitcoin Up or Down - July 21, 8PM ET",114887532525695728952619378229021492493041006081818159303599802337130324464902,2025-07-21 20:00 EDT,bitcoin-up-or-down-july-21-8pm-et
"Bitcoin Up or Down - July 21, 9PM ET",95588769211312887202265039318786834845586963774916156200296418910257148734971,2025-07-21 21:00 EDT,bitcoin-up-or-down-july-21-9pm-et
"Bitcoin Up or Down - July 21, 10PM ET",97319630844614796553958240863711169129180779510049003981683587448232161512830,2025-07-21 22:00 EDT,bitcoin-up-or-down-july-21-10pm-et
"Bitcoin Up or Down - July 21, 11PM ET",57595339354511881582535260174903818028454142901896772447826654808906844355648,2025-07-21 23:00 EDT,bitcoin-up-or-down-july-21-11pm-et
"Bitcoin Up or Down - July 22, 12AM ET",99549043314130401847495850359553026990366935782315335431300680776890305890638,2025-07-22 00:00 EDT,bitcoin-up-or-down-july-22-12am-et
"Bitcoin Up or Down - July 22, 1AM ET",107529711098745076239689768559411990443452003671050210782648578653021177744073,2025-07-22 01:00 EDT,bitcoin-up-or-down-july-22-1am-et
"Bitcoin Up or Down - July 22, 2AM ET",57351947839703949481459049024156443026578641118744346071129209633543064064206,2025-07-22 02:00 EDT,bitcoin-up-or-down-july-22-2am-et
"Bitcoin Up or Down - July 22, 3AM ET",99306633666657205562082827178596200393813720965554812790382375414318035898107,2025-07-22 03:00 EDT,bitcoin-up-or-down-july-22-3am-et
"Bitcoin Up or Down - July 22, 4AM ET",17360017881398136800660360681559842992123960682961414713337444978585342635593,2025-07-22 04:00 EDT,bitcoin-up-or-down-july-22-4am-et
"Bitcoin Up or Down - July 22, 5AM ET",101857226167851041348648142787634554120773057262473544245610707497111691495776,2025-07-22 05:00 EDT,bitcoin-up-or-down-july-22-5am-et
"Bitcoin Up or Down - July 22, 6AM ET",52400306541318043704154619794191493195223298153961617235919377778013647053081,2025-07-22 06:00 EDT,bitcoin-up-or-down-july-22-6am-et
"Bitcoin Up or Down - July 22, 7AM ET",97631173217590281997587905306724636113782900358921573956875967624854365467168,2025-07-22 07:00 EDT,bitcoin-up-or-down-july-22-7am-et
"Bitcoin Up or Down - July 22, 8AM ET",89876692691548887391838596793776257780760260971863459636844777924263832287406,2025-07-22 08:00 EDT,bitcoin-up-or-down-july-22-8am-et
"Bitcoin Up or Down - July 22, 9AM ET",94061129667480492775469228703761525145095599111489350945297437653828900113520,2025-07-22 09:00 EDT,bitcoin-up-or-down-july-22-9am-et
"Bitcoin Up or Down - July 22, 10AM ET",113342388368419628760426108580567481337229808520569174258992641225570730181470,2025-07-22 10:00 EDT,bitcoin-up-or-down-july-22-10am-et
"Bitcoin Up or Down - July 22, 11AM ET",44248982977535479291737996045523297875826123260780749363878029465459644196150,2025-07-22 11:00 EDT,bitcoin-up-or-down-july-22-11am-et
"Bitcoin Up or Down - July 22, 12PM ET",17796918562312478864836017985507795950517395203774931039161451110668687866795,2025-07-22 12:00 EDT,bitcoin-up-or-down-july-22-12pm-et
"Bitcoin Up or Down - July 22, 1PM ET",80758691724953229035271714043007778309465583645547683985467858173025589657739,2025-07-22 13:00 EDT,bitcoin-up-or-down-july-22-1pm-et
"Bitcoin Up or Down - July 22, 2PM ET",97294416654421596639112343228795115838899269175760281969280506154145510014631,2025-07-22 14:00 EDT,bitcoin-up-or-down-july-22-2pm-et
"Bitcoin Up or Down - July 22, 3PM ET",70364768732018588429746391719975027899142769828766767891441399984821844168504,2025-07-22 15:00 EDT,bitcoin-up-or-down-july-22-3pm-et
"Bitcoin Up or Down - July 22, 4PM ET",97979711710340132368814043867633990664843632878674082722224192348211745763843,2025-07-22 16:00 EDT,bitcoin-up-or-down-july-22-4pm-et
"Bitcoin Up or Down - July 22, 5PM ET",10326046207137766869879944830810587055038012654778315127352407098656118172290,2025-07-22 17:00 EDT,bitcoin-up-or-down-july-22-5pm-et
"Bitcoin Up or Down - July 22, 6PM ET",56958372789542670685605817287536785981531626406925771327113066921399608070754,2025-07-22 18:00 EDT,bitcoin-up-or-down-july-22-6pm-et
"Bitcoin Up or Down - July 22, 7PM ET",51334781349374635011099124033609515644524642805269453623316690786045316599079,2025-07-22 19:00 EDT,bitcoin-up-or-down-july-22-7pm-et
"Bitcoin Up or Down - July 22, 8PM ET",18791878662531274609352437088994876244183962023734003896764833239975532532079,2025-07-22 20:00 EDT,bitcoin-up-or-down-july-22-8pm-et
"Bitcoin Up or Down - July 22, 9PM ET",57177330894475459644281839543795594702794509793081020314521197882286382285763,2025-07-22 21:00 EDT,bitcoin-up-or-down-july-22-9pm-et
"Bitcoin Up or Down - July 22, 10PM ET",44531934695237376577688574570631844919922790545208308048037592449088782507088,2025-07-22 22:00 EDT,bitcoin-up-or-down-july-22-10pm-et
"Bitcoin Up or Down - July 22, 11PM ET",89689326379991725466347309349612358388822067073852691381402818386322858161171,2025-07-22 23:00 EDT,bitcoin-up-or-down-july-22-11pm-et
"Bitcoin Up or Down - July 23, 12AM ET",1774653468971719426159112514816947068277062389845438022548544898820687287854,2025-07-23 00:00 EDT,bitcoin-up-or-down-july-23-12am-et
